,NAME,ADDRESS,CITY,STATE,PHONE_NUMBER
291,SHEETZ #634,8101 GLENWOOD AVE,RALEIGH,NC,19198905331.0
292,Wake Forest Hideout,1839 S MAIN ST,WAKE FOREST,NC,19196495180.0
293,Zaxby's #69201,1171 PINE PLAZA DR,APEX,NC,19197469270.0
294,Mason's Famous Lobster Rolls,4121 MAIN AT NORTH HILLS ST,RALEIGH,NC,19842001845.0
295,Calavera Taqueria Restaurant,615 W Morgan ST,RALEIGH,NC,19196171661.0
296,WYE HILL KITCHEN &amp; BREWING,201 S BOYLAN AVE,RALEIGH,NC,19842001189.0
297,Layered Croissanterie,911 N WEST ST,RALEIGH,NC,19842001200.0
298,Kabab and Curry,2412 HILLSBOROUGH ST,RALEIGH,NC,19199776974.0
299,Oriental Pho,5959 TRIANGLE TOWN BLVD,RALEIGH,NC,19194490807.0
300,SHISH KABOB,9101 LEESVILLE  RD,RALEIGH,NC,19198481211.0
301,MOD Pizza #576,336 SEMBLER LN,CARY,NC,19842087015.0
302,Boulevard Pizza,2925 Wendell BLVD,WENDELL,NC,19193650040.0
303,The Lost Cajun Restaurant - Bent Tree Plaza,7901 FALLS OF NEUSE RD,RALEIGH,NC,19192673126.0
304,Crema at City Plaza,421 Fayettville ST,RALEIGH,NC,19198347279.0
