OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,CREATED_DATE,LAST_EDITED_DATE,SHAPEAREA,SHAPELEN
2383066,,0.27875943,TOWN OF APEX,APEX,GREENWAY,,,,,,,,12148.7666651653,1404.8070268015
2383067,,0.31323573,WAKE COUNTY,RALEIGH,OPEN SPACE,,,,,,,,13644.5482911532,692.741953552763
2383068,Sanford Creek Greenway,51.7470777,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,SANFORD CREEK,,,,2254110.4430097,12987.0717984799
2383069,,186.78790681,BRANDYWINE LLC,RALEIGH,GREENWAY, ,EASEMENT,,NEUSE RIVER,,,,8136475.86718895,43207.4832636738
2383070,Indian Creek Greenway,3.43025553,TOWN OF MORRISVILLE,MORRISVILLE,GREENWAY,,,,,,,,149421.954477217,2283.58105690953
2383071,Cary Tennis Park,18.46557032,TOWN OF CARY,CARY,PARK,,,,,,,,804360.39763426,4451.98724497786
2383072,Crabtree Creek Trail,15.9523785,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,CRABTREE CREEK,,,,694885.607376804,4852.59911949412
2383073,Crabtree Creek Trail,17.38705212,NC DEPARTMENT OF TRANSPORTATION,RALEIGH,GREENWAY,,,,CRABTREE CREEK,,,,757379.990367964,5722.19299020119
2383074,OS-011,85.53191713,WAKE COUNTY,WAKE COUNTY,GREENWAY, ,FEE SIMPLE,956,CEDAR FORK CREEK,OS-011,,,3693097.67765777,12860.5666413246
2383075,,0.65390566,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,,,,,,,28484.1304996949,840.975259923012
2383076,Wake Forest Elementary,6.63321571,WAKE COUNTY BOARD OF EDUCATION,WAKE FOREST,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,454528.840558804,3965.59245098265
2383077,Avery St Park & Recreation Center,3.86130803,WAKE COUNTY BOARD OF EDUCATION,GARNER,PARK,,,,,,,,168198.577869586,1685.09528651604
2383078,Capital Park,1.0518869,HOUSING AUTHORITY CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,45824.5770788479,938.704057603901
2383079,,0.23105179,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,10064.6158140738,388.150363551923
2383080,Brier Creek  School Park,9.97553696,CITY OF RALEIGH,RALEIGH,PARK,,,97,,,,,434513.365103968,2907.20086768816
2383081,,0.74028678,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,32246.8920615575,748.69210190947
2383082,,14.12240928,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,NEUSE RIVER,,,,615172.14839903,4476.12319797815
2383083, ,2.77648268,CITY OF RALEIGH,RALEIGH,GREENWAY, ,EASEMENT, ,NEUSE RIVER,,,,120943.585733406,2615.62099830417
2383084,Neuse River Greenway,15.82087573,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,NEUSE RIVER,,,,689187.585568925,5345.81986691311
2383085,,0.64912919,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,28276.0675369717,755.934414421372
2383086,,7.96436883,WAKE COUNTY,RALEIGH,GREENWAY,,,,,,,,346927.906199456,4479.52699559156
2383087,Chavis Way Greenway,1.51967891,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,66197.2131473941,1170.04090783308
2383088,Chavis Way Greenway,1.06210344,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,46370.6068907414,1074.52131901549
2383089,OS-078,80.45124165,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE,,PARTNERSHIP,,SMITH CREEK,OS-078,,,3496687.93397404,9174.76813316206
2383090,Kinton Soccer Field,2.4196544,"KINTON, JOHN H & RUTH C JR",FUQUAY-VARINA,PARK,,,,,,,,105400.145779337,1409.39400304415
2383091,Ransdell Soccer Field,4.63041079,"RANSDELL, ROBERT LRANSDELL, JAMES C",FUQUAY-VARINA,PARK,,,,,,,,201700.6938467,2241.86318969298
2383092,,0.37339714,N C DEPARTMENT OF TRANSPORTATION,RALEIGH,OPEN SPACE,,,,,,,,16265.179395148,606.067450211393
2383093,,0.34815313,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,15165.5504515584,2083.66173216401
2383094,,0.84185166,"HONEYCUTT, A J HEIRS",RALEIGH,GREENWAY,,,,,,,,36671.0582335409,1192.01274414414
2383095,Community & Ballfield Park,9.93434953,TOWN OF ROLESVILLE,ROLESVILLE,PARK,,,131,,,,,432740.265714596,2979.48248019805
2383096,,6.03006073,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,262669.445409637,3242.08548405294
2383097,Richland Creek Greenway,33.43690777,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,RICHLAND CREEK,,,,1456511.70231744,11769.1000294307
2383098,Smith Creek Greenway,15.59484947,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,SMITH CREEK,,,,679311.642993473,6777.18264017866
2383099,,0.90581713,TOWN OF CARY,CARY,OPEN SPACE,,,,,,,,39457.3943113939,979.901684479785
2383100,Hatcher Grove Greenway,10.60609378,TOWN OF CARY,CARY,GREENWAY,,,,,,,,462001.445160018,2807.91018393646
2383101,,34.23366344,TOWN OF CARY,WAKE COUNTY,GREENWAY,,,,,,,,1491218.37961622,6772.23327923236
2383102,,2.43537718,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,106095.113574115,1822.63629370368
2383103,City of Raleigh Greenway,11.4239934,CITY OF RALEIGH,RALEIGH,GREENWAY,CITY OF RALEIGH,EASEMENT,,,,,,497624.941317741,4437.15321982167
2383104, ,1.9471258,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,84816.8000608429,1663.0156537893
2383105, ,2.4325231,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,97437.9811165539,1862.17501981822
2383106,Whitley Park,2.8701737,TOWN OF ZEBULON,ZEBULON,PARK, , , ,,,,,125024.766257884,1547.84316557174
2383107,,0.96236583,TOWN OF ZEBULON,ZEBULON,OPEN SPACE, , , ,,,,,41920.655517513,819.287072851629
2383108,,2.44275295,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,,,,,107010.094116268,2865.40701930695
2383109,Crabtree Creek Trail,15.68718829,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,CRABTREE CREEK,,,,683333.921957906,5348.02896205885
2383110,,107.74683089,TOWN OF WAKE FOREST,WAKE COUNTY,OPEN SPACE,,,,NEUSE RIVER,,,,4693438.76661186,11548.0857172118
2383111,,17.15786937,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,SMITH CREEK,,,,747396.789852589,8152.57181652517
2383112,,0.51572269,STATE OF NORTH CAROLINA,RALEIGH,OPEN SPACE,,,,,,,,22464.8805298006,735.002320589149
2383113,Anne L.Wilkerson MD Nature Preserve,157.29695892,CITY OF RALEIGH,WAKE COUNTY,PARK,,,,,,,,6851855.53060304,11884.0544609728
2383114,,29.51900532,TOWN OF GARNER,GARNER,GREENWAY,,,,MAHLERS CREEK,,,,1291384.56091965,6078.12854882954
2383115,,0.22869377,MCR INVESTORS LLC,MORRISVILLE,OPEN SPACE,,,,,,,,9961.90060145111,407.140535028252
2383116,,3.81361838,MCR INVESTORS LLC,MORRISVILLE,OPEN SPACE,,,,,,,,166121.216700675,1722.97430028827
2383117,OS-083,53.3446733,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,PARTNERSHIP,,,OS-083,,,2324574.64241589,9394.18210745303
2383118,OS-050,5.31029159,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,956,CEDAR FORK CREEK,OS-050,,,231316.301716417,2604.7128103907
2383119,OS-048,3.30972711,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,956,CEDAR FORK CREEK,OS-048,,,144171.712901651,1614.15327377064
2383120,OS-059,4.18602137,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,954,LOWERY CREEK,OS-059,,,182343.09074174,2814.23799687531
2383121,OS-086,114.46535044,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,960,MARKS CREEK,OS-086,,2019/10/28 17:26:57+00,4989132.32429393,14555.8094354371
2383122,OS-075,10.73043388,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,958,STEEP HILL CREEK,OS-075,,,433463.190292711,2954.67840894724
2383123,Lowery Creek Greenway,16.88485403,"CHOPLIN, CONNIE STEVEN",WAKE COUNTY,GREENWAY,,,954,LOWERY CREEK,,,,735502.728796308,5452.23182197726
2383124,Baileywick Road Park,50.15619097,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,2190037.13408481,8724.63541245897
2383125,,1.323086,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,57633.6262277396,1898.32141074785
2383126,,0.24193749,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,10538.7971875655,759.281754695507
2383127,New Bern Place Park,0.87466229,N C SOCIETY COLONIAL DAMES AMERICA,RALEIGH,PARK,,,,,,,,38100.2893934511,1072.77209888537
2383128,Apollo Heights Park,31.7323699,TRIANGLE GREENWAYS COUNCIL,RALEIGH,PARK,,,,WALNUT CREEK,,,,1382741.90405665,9483.55834493631
2383129,Ralph Campbell Community Center,4.26160734,CITY OF RALEIGH,RALEIGH,PARK,,,,WALNUT CREEK,,,,185635.615707371,2578.50075113826
2383130,Saint Monica Teen Center,3.18336052,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,138667.184388385,1523.22927378858
2383131,Wooten Meadow Park,20.49835365,CITY OF RALEIGH,RALEIGH,PARK,,,,HARE SNIPE CREEK,,,,892908.285065821,6518.1392320782
2383132,OS-051,258.78566022,STATE OF NORTH CAROLINA ,WAKE COUNTY,OPEN SPACE,NC DIVISION OF FOREST RESOURCES,,,,OS-051,,,11279439.5987004,17008.0859346426
2383133,OS-061,52.60620851,STATE OF NORTH CAROLINA,WAKE COUNTY,OPEN SPACE,,PARTNERSHIP,,,OS-061,,,2291526.44290856,6955.03852443342
2383134,OS-025,2.14800674,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,,NEUSE RIVER,OS-025,,,93567.1735160235,1371.02816200906
2383135,OS-024,2.56361186,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,,NEUSE RIVER,OS-024,,,111670.93246695,1835.74144382934
2383136,OS-027,1.48939732,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,,NEUSE RIVER,OS-027,,,64878.1471238028,1182.32177086548
2383137,OS-028,2.93112264,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,,NEUSE RIVER,OS-028,,,127679.702249955,2457.21196292267
2383138,OS-018,4.02569873,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,,LITTLE RIVER,OS-018,,,175359.436679546,2812.02220916629
2383139,OS-077,42.09424924,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,EASEMENT,953,LITTLE RIVER,OS-077,,,1833625.49679496,9298.20705313117
2383140,OS-012,126.17778379,WAKE COUNTY,WAKE COUNTY,GREENWAY, ,FEE SIMPLE,954,LOWERY CREEK,OS-012,,,5496304.26177338,16006.426161406
2383141,OSLC-1,25.87620517,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,954,LOWERY CREEK,OSLC-1,,,1127167.49704862,4489.44377667251
2383142,OS-045,3.0112793,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,954,LOWERY CREEK,OS-045,,,136347.303126711,2108.99837847813
2383143,OS-044,0.32984035,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,957,HOMINY CREEK,OS-044,,,14367.8454964131,495.832131497211
2383144,OS-001,15.66294789,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,958,STEEP HILL CREEK,OS-001,,,693896.060226484,3751.6410926958
2383145,OS-082,24.21012744,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,960,MARKS CREEK,OS-082,,,1054593.15128634,5760.90132402911
2383146,,70.59623536,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,NEUSE RIVER,,,,3075172.01237866,17375.4969438681
2383147,,12.4116808,TOWN OF KNIGHTDALE,KNIGHTDALE,OPEN SPACE,,,,MINGO CREEK,,,,540652.815747009,5758.12210823611
2383148,Rolesville Elementary School,11.25651536,WAKE COUNTY BOARD OF EDUCATION,ROLESVILLE,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,131,,,,,479987.17016592,3078.41218998578
2383149,Planned Neighborhood Park NPS38,20.56525008,CITY OF RALEIGH,RALEIGH,PARK,,Planned Park,NPS38,,,,,895815.447891894,7164.86281516449
2383150,Falls Lake Recreation Area Office,147.65958837,UNITED STATES OF AMERICA,WAKE COUNTY,PARK,STATE OF NC, , ,,,,,6420885.00709672,10180.5881585379
2383151,Shinleaf State Recreation Area,308.76412761,UNITED STATES OF AMERICA,WAKE COUNTY,PARK,STATE OF NC, , ,,,,,13449765.3985375,37524.6923036763
2383152,BW Wells State Recreation Area,365.43716177,UNITED STATES OF AMERICA,WAKE COUNTY,PARK,STATE OF NC, , ,,,,,15918442.7666004,31170.5113163753
2383153,Blue Jay Point,239.90174443,UNITED STATES OF AMERICA,WAKE COUNTY,PARK,WAKE COUNTY, ,65,,,,,10450119.9873185,27590.6674958998
2383154,OS-035,32.57578533,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,TRIANGLE LAND CONSERVANCY,FEE SIMPLE,,MARKS CREEK,OS-035,,,1419001.20894213,7511.29652501607
2383155,Terrible Creek Trail,48.5563191,STATE OF NORTH CAROLINA,FUQUAY-VARINA,GREENWAY,,,,TERRIBLE CREEK,,,,2115113.25989874,13239.6313089483
2383156,Swift Creek Greenway,62.67762494,TOWN OF GARNER,GARNER,OPEN SPACE,,,,SWIFT CREEK,,,,2730237.34220941,11623.711198783
2383157,,25.02270347,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,RICHLAND CREEK,,,,1089988.9631866,7694.09212352532
2383158,NCSU Agriculture Research Land,87.40939535,STATE OF NORTH CAROLINA,RALEIGH,RESEARCH,Museum of Art,,,,,,,3807553.26149519,9240.13846928382
2383159,Watkins Road Community Park,38.33223164,CITY OF RALEIGH,WAKE COUNTY,PARK,,Planned Park,,,,,,1669752.01041103,7374.79242554406
2383160,Planned Neighborhood Park NPS-16,26.29348612,CITY OF RALEIGH,WAKE COUNTY,PARK,CITY OF RALEIGH,Planned Park,,,,,,1125523.87853571,4858.69426046686
2383161,Planned Neighborhood Park NPS33,5.98784161,CITY OF RALEIGH,RALEIGH,PARK,,Planned Park,NPS33,,,,,260830.380697403,2253.58970703518
2383162,Forest Ridge Park,589.33350669,UNITED STATES OF AMERICA,WAKE COUNTY,PARK,NCDENR,Planned Park, ,,,,,25670941.4467728,72743.8068569145
2383163,Mayview Green Park,0.51883755,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,22600.5638659668,714.701907442894
2383164,Walnut Street Park,12.6991648,TOWN OF CARY,CARY,PARK,,,,,,,,553175.618535437,4143.0909408367
2383165,Jack Smith Park,46.74854477,TOWN OF CARY,CARY,PARK,,Planned Park,,,,,2018/09/11 20:14:48+00,2038594.95240312,8378.72320986693
2383166,Ruritan Park,0.38693379,MORRISVILLE RURITAN CLUB,MORRISVILLE,PARK,,,,,,,,16854.8359737864,520.085843776137
2383167,,0.21424503,TOWN OF MORRISVILLE,MORRISVILLE,OPEN SPACE,,,,,,,,9332.51341269376,409.268469035948
2383168,Aquatic and Fitness Center,4.91022259,TOWN OF MORRISVILLE,MORRISVILLE,PARK,,,,,,,,213889.296226786,1864.91889386459
2383169,Marshall Street Open Space,0.87367186,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,38435.4582538749,1840.30219135688
2383170,,6.56436644,TOWN OF APEX,APEX,GREENWAY,,,,BEAVER CREEK,,,,284235.131844932,2531.74054478767
2383171,Creech Road Elementary School Park,18.26593028,WAKE COUNTY,GARNER,PARK,,,86,,,,,795663.922891597,5040.72214072298
2383172,,0.29962873,WAKE COUNTY,RALEIGH,OPEN SPACE,,,,,,,,13051.8275776155,828.044739651482
2383173,Richland Creek Greenway,24.86852437,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,RICHLAND CREEK,,,,1090762.94043772,9313.52656124782
2383174,Salem Elementary School Pond,12.47143438,WAKE COUNTY,APEX,PARK,,,88,,,,,543255.681774011,3674.00284635271
2383175,Black Creek Greenway,2.52033328,TOWN OF CARY,CARY,GREENWAY,,,,,,,,109510.867742391,3860.95023725417
2383176,Smith Creek Greenway,7.54569991,STATE OF NORTH CAROLINA,WAKE FOREST,GREENWAY,,,,SMITH CREEK,,,,328690.68795517,5439.92979842338
2383177,Higgins Greenway,13.64936025,TOWN OF CARY,CARY,GREENWAY,,,,,,,,592367.058248538,7815.9476494134
2383178,John P Top Green Neighborhood Park,1.31499571,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,54279.7806422163,996.371670413315
2383179,Chamberlain Neighborhood Park,1.44060509,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,62752.7575498615,1045.35898195459
2383180,Pirates Cove Greenway,6.49004553,TOWN OF CARY,CARY,GREENWAY,,,,,,,,282706.383190295,4932.0707336841
2383181,,2.64582296,TOWN OF APEX,APEX,GREENWAY,,,,BIG BRANCH,,,,116726.970789631,2607.46202402323
2383182,Walnut Creek Wetland Park,54.12559054,CITY OF RALEIGH,RALEIGH,PARK,,,,WALNUT CREEK,,,,2362184.21809341,8205.94319774967
2383183,OS-085,114.87620408,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,THE TRUST FOR PUBLIC LAND,FEE SIMPLE,,MARKS CREEK,OS-085,,,5004007.44954059,9497.44589052254
2383184,Harris Creek Elementary,25.57314808,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,100,,,,,1113966.33020182,4456.13739234806
2383185,Barwell Road Elementary,18.74467874,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,,,,,,816518.205836286,4692.58589981729
2383186,East Garner Elementary,26.84011457,WAKE COUNTY BOARD OF EDUCATION,GARNER,SCHOOL,,,,,,,,1169155.39080481,5718.04094550237
2383187,Centennial Middle School,24.6562671,STATE OF NORTH CAROLINA,RALEIGH,SCHOOL,,,,,,,,1074026.9949805,4352.7735602249
2383188,Poe Elementary,12.81097914,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,,,,,,558046.25114108,3290.74839692476
2383189,Moore Square Museum/Middle School,3.97756439,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,,,,,,173262.704889851,1638.77220665427
2383190,Sanford Creek Elementary,16.38881104,WAKE COUNTY BOARD OF EDUCATION,ROLESVILLE,SCHOOL,,,,,,,,713896.608822471,3686.06482450309
2383191,Wendell MIddle School,24.45006918,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY,,,,,,,1065045.01327524,4895.56202964737
2383192,Wakelon Elementary ,34.80497872,WAKE COUNTY BOARD OF EDUCATION,ZEBULON,SCHOOL,,,99,,,,,1521792.71414507,6664.36103078771
2383193,Forest Pines Elementary,19.90702355,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,,,,,,867149.94596629,3919.14815431424
2383194,River Oaks Middle School,6.7141716,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,,,,,,292469.314774269,2730.20777140534
2383195,Mt Vernon Elementary,8.03682609,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,,,,,,350084.144528621,2788.02250051931
2383196,Barmettler,1.1794766,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,51378.0007513785,1149.80445903911
2383197,Windemere Beaver Dam Park,14.76731333,CITY OF RALEIGH,RALEIGH,PARK,,,,BEAVERDAM CREEK,,,,643264.168824581,11375.2248803891
2383198,,2.12377856,TOWN OF CARY,CARY,OPEN SPACE,,,,,,,,92511.7938558137,1537.41357278764
2383199,,4.56193575,NC DEPARTMENT OF TRANSPORTATION,WAKE COUNTY,OPEN SPACE,,,,,,,,198717.921451829,3045.51094576337
2383200,City of Raleigh Greenway,5.4521741,"DAMERON, NANCY H",RALEIGH,OPEN SPACE,CITY OF RALEIGH,,,,,,,237496.703963894,2336.64440815493
2383201,,9.28572164,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,NR Honeycutt Creek Trib A,,,,404486.034477036,7958.17317538975
2383202,Upper Walnut Creek Greenway,33.07983176,CITY OF RALEIGH,RALEIGH,GREENWAY,CITY OF RALEIGH,,,WALNUT CREEK,,,,1440957.47167882,9756.77797463726
2383203,Neuse River Greenway,25.00437986,CITY OF RALEIGH,RALEIGH,GREENWAY,CITY OF RALEIGH,,,NEUSE RIVER,,,,1089190.78680387,5179.71527895927
2383204,FEMA HMGP Phase 1-8,0.29576398,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,12883.4791298938,467.338098827043
2383205,Garner Baseball Park,5.98543339,GARNER BASEBALL INC/ LIONS CLUB,GARNER,PARK,,,,,,,,260725.478497601,3244.02493322929
2383206,,0.17516181,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,7630.04858380184,404.128258656546
2383207,,0.12881432,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,5611.15160625012,319.54712008376
2383208,,1.19323509,TOWN OF GARNER,GARNER,OPEN SPACE,,,,,,,,51977.3206520322,1479.08865385626
2383209,,15.88551075,TRIANGLE GREENWAYS COUNCIL,RALEIGH,GREENWAY,,,,WALNUT CREEK,,,,691972.848396472,4907.89861003338
2383210,,0.61304221,TRIANGLE GREENWAYS COUNCIL,RALEIGH,OPEN SPACE,,,,,,,,26386.7139230159,646.499485957544
2383211,Richland Creek Greenway,7.75670129,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,RICHLAND CREEK,,,,337881.908383658,6077.6204323188
2383212,OS-098,35.49014147,TOWN OF GARNER,GARNER,GREENWAY,,PARTNERSHIP,950,,OS-098,,,1551242.40722403,5237.70693224524
2383213,,0.95073648,TOWN OF GARNER,GARNER,OPEN SPACE,,,,,,,,41414.0809185237,1097.70298275299
2383214,,0.35832427,TOWN OF GARNER,GARNER,OPEN SPACE,,,,,,,,15608.6052147445,587.083069034364
2383215,,2.95898615,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,Crabtree Creek Sycamore Creek,,,,77768.6246524727,2248.28112700062
2383216,,5.10763799,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,Crabtree Creek Sycamore Creek,,,,222488.710833538,5168.49321766147
2383217,,0.46922504,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,Crabtree Creek Sycamore Creek,,,,20439.4427213365,877.870547997501
2383218,,5.34123591,TOWN OF WENDELL,WENDELL,OPEN SPACE,,,,BUFFALO CREEK,,,,232664.236051577,2429.88677958473
2383219,,1.09417309,TOWN OF CARY,CARY,OPEN SPACE,,,,COLES BRANCH,,,,47662.1799136062,2113.71762791326
2383220,Mingo Creek Greenway,30.4196073,TOWN OF KNIGHTDALE,KNIGHTDALE,GREENWAY,,,,MINGO CREEK,,,,1325078.0938778,10411.1612675114
2383221,OS-087,24.54804127,WAKE COUNTY,FUQUAY-VARINA,GREENWAY,,PARTNERSHIP,951,MIDDLE CREEK,OS-087,,,1069314.59950494,7557.68696906261
2383222,Dedicated Open space,44.51061815,WAKE COUNTY,WAKE COUNTY,GREENWAY,,LAND DEDICATION,,,,,,1934408.87959239,6010.50775790423
2383223,Dedicated Open space,29.1907221,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,LAND DEDICATION,,MIDDLE CREEK,,,,1271420.97458666,8678.6025750878
2383224,Dedicated Open space,22.55600299,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,LAND DEDICATION,,BUCKHORN CREEK,,,,982545.61992668,5286.69686012659
2383225,OS-097,212.2097696,WAKE COUNTY / CITY OF RALEIGH,WAKE COUNTY,OPEN SPACE,TRUST FOR PUBLIC LAND,PARTNERSHIP,950,BEAVERDAM CREEK,OS-097,,,9243857.56372867,16862.2081811098
2383226,Indian Creek Greenway,4.7288846,TOWN OF MORRISVILLE,MORRISVILLE,GREENWAY,,,,,,,,205990.218229127,2131.38594051363
2383227,,0.53281208,TOWN OF MORRISVILLE,MORRISVILLE,OPEN SPACE,,,,,,,,23209.2942057897,649.47898272413
2383228,OS-054,4.61725113,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,954,LOWERY CREEK,OS-054,,,201127.459240305,4371.7140641725
2383229,OS-053,8.77704034,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,,NEUSE RIVER,OS-053,,,382327.877245234,4172.50559624406
2383230,Feltonsville Park,0.49484692,WAKE COUNTY,WAKE COUNTY,PARK,,,,,,,,21555.5318697588,619.526640575949
2383231,,2.58513883,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,HOUSE CREEK,,,,112608.64732886,1328.51652768538
2383232,OS-088,46.28824466,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,EASEMENT,953,LITTLE RIVER,OS-088,,,2016315.9374663,8228.01616111471
2383233,OS-062,156.26078048,WAKE COUNTY / CITY OF RALEIGH,WAKE COUNTY,GREENWAY,,EASEMENT,952,NEUSE RIVER,OS-062,,,6806719.5978642,33326.9432221175
2383234,OS-015,11.19632707,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,,NEUSE RIVER,OS-015,,,487712.006956883,4912.75154382138
2383235,,3.96568211,TOWN OF CARY,CARY,GREENWAY,,,,COLES BRANCH,,,,172745.112838715,2241.78423728996
2383236,OS-092,11.20805206,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,956,CEDAR FORK CREEK,OS-092,,,496465.704994368,4384.57834524445
2383237,Banks Road Elementary School,17.49719316,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,SCHOOL,,,,,,,,762198.561146511,4699.29789618428
2383238,Holly Springs Cultural Center,7.45414071,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,PARK,,,,,,,,324710.193343878,2352.57858423616
2383239,Lake Myra Elementary School,17.62124406,WAKE COUNTY BOARD OF EDUCATION,WENDELL,SCHOOL,,,,MARKS CREEK,,,,767598.759434648,3701.2418595606
2383240,Hinshaw Greenway,1.66043057,TOWN OF CARY,CARY,GREENWAY,,,,,,,,72328.3555545053,2077.28648513613
2383241,,2.49913364,WAKE COUNTY BOARD OF EDUCATION,ZEBULON,OPEN SPACE,,,,,,,,108862.261305282,1680.6616597349
2383242,,1.11541563,TOWN OF CARY,CARY,GREENWAY,,,,,,,,48587.5050104056,1166.73444321547
2383243,,33.74295885,STATE OF NORTH CAROLINA,WAKE COUNTY,OPEN SPACE,,,,NEW LIGHT CREEK,,,,1469855.63889785,5923.0269154098
2383244,Middle Crabtree Creek Trail,2.81253953,YORK FAMILY PROPERTIES,RALEIGH,GREENWAY,CITY OF RALEIGH,EASEMENT,,CRABTREE CREEK,,,,122514.33909368,1765.50345269064
2383245,Middle Crabtree Creek Trail,0.65822596,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,CRABTREE CREEK,,,,28672.3227969727,893.965949869938
2383246,American Tobacco Trail,34.52955071,NC DEPARTMENT OF TRANSPORTATION,WAKE COUNTY,GREENWAY,,,200,,OSATT,,,1517253.44035908,29323.5923051236
