Date,HumidityMax,HumidityAvg,HumidityMin
2001-11-02,100.0,78.4,44.0
2001-11-03,96.0,65.6,39.0
2001-11-04,89.0,56.2,32.0
2001-11-05,100.0,56.3,18.0
2001-11-06,79.0,52.1,17.0
2001-11-07,92.0,57.0,19.0
2001-11-08,93.0,56.0,19.0
2001-11-09,89.0,56.4,25.0
2001-11-10,96.0,63.1,30.0
2001-11-11,96.0,56.6,33.0
2001-11-12,100.0,64.4,34.0
2001-11-13,100.0,72.0,38.0
2001-11-14,100.0,80.4,50.0
2001-11-15,100.0,78.4,43.0
2001-11-16,100.0,64.8,25.0
2001-11-17,93.0,64.6,36.0
2001-11-18,100.0,84.3,45.0
2001-11-19,100.0,76.8,51.0
2001-11-20,100.0,61.7,28.0
2001-11-21,85.0,58.0,30.0
2001-11-22,96.0,66.5,31.0
2001-11-23,96.0,73.2,48.0
2001-11-24,100.0,98.8,94.0
2001-11-25,100.0,94.8,87.0
2001-11-26,100.0,93.8,66.0
2001-11-27,100.0,91.2,64.0
2001-11-28,100.0,82.3,49.0
2001-11-29,100.0,88.0,60.0
2001-11-30,94.0,80.7,66.0
2001-12-01,100.0,87.0,42.0
2001-12-02,100.0,71.3,46.0
2001-12-03,100.0,78.8,49.0
2001-12-04,100.0,69.9,24.0
2001-12-05,97.0,64.0,23.0
2001-12-06,90.0,68.3,50.0
2001-12-07,90.0,71.2,51.0
2001-12-08,93.0,74.5,51.0
2001-12-09,92.0,65.7,47.0
2001-12-10,100.0,83.1,62.0
2001-12-11,100.0,99.2,93.0
2001-12-12,100.0,99.9,96.0
2001-12-13,100.0,99.8,96.0
2001-12-14,100.0,93.2,78.0
2001-12-15,100.0,68.3,42.0
2001-12-16,96.0,69.4,44.0
2001-12-17,100.0,77.8,52.0
2001-12-18,100.0,63.3,33.0
2001-12-19,100.0,72.3,42.0
2001-12-20,76.0,45.9,16.0
2001-12-21,78.0,51.0,27.0
2001-12-22,81.0,58.3,29.0
2001-12-23,81.0,66.9,47.0
2001-12-24,100.0,76.3,38.0
2001-12-25,88.0,57.0,27.0
2001-12-26,81.0,54.8,33.0
2001-12-27,75.0,52.5,32.0
2001-12-28,72.0,56.0,38.0
2001-12-29,79.0,53.4,31.0
2001-12-30,63.0,47.4,31.0
2001-12-31,45.0,45.0,45.0
2002-01-01,74.0,48.4,30.0
2002-01-02,96.0,69.6,47.0
2002-01-03,100.0,91.8,64.0
2002-01-04,92.0,65.2,39.0
2002-01-05,89.0,69.5,45.0
2002-01-06,100.0,95.2,78.0
2002-01-07,100.0,82.7,49.0
2002-01-08,81.0,60.2,41.0
2002-01-09,75.0,61.0,40.0
2002-01-10,86.0,67.4,48.0
2002-01-11,89.0,63.2,33.0
2002-01-12,100.0,74.1,41.0
2002-01-13,100.0,63.3,29.0
2002-01-14,88.0,73.9,54.0
2002-01-15,100.0,68.7,28.0
2002-01-16,75.0,50.8,36.0
2002-01-17,79.0,55.6,31.0
2002-01-18,82.0,60.9,33.0
2002-01-19,100.0,90.6,41.0
2002-01-20,100.0,90.1,65.0
2002-01-21,100.0,94.8,87.0
2002-01-22,100.0,67.0,28.0
2002-01-23,100.0,95.3,54.0
2002-01-24,100.0,93.9,80.0
2002-01-25,100.0,78.8,46.0
2002-01-26,100.0,69.0,27.0
2002-01-27,96.0,76.4,42.0
2002-01-28,96.0,74.3,42.0
2002-01-29,83.0,67.1,42.0
2002-01-30,93.0,74.0,45.0
